Domain,Category,Title_Clean,Body_Clean,URL,Journey_Stage,Action_Tags
kanker.nl,Oncology,Betrouwbare informatie,"A Alvleesklierkanker Anuskanker Atypisch fibroxanthoom B Baarmoederhalskanker Baarmoederkanker Baarmoedersarcoom Basaalcelcarcinoom Bestraling Bijnierkanker Blaaskanker Bloedtransfusie Borstkanker Borstkanker bij mannen Botkanker (botsarcoom) Buikvlieskanker C Cannabis bij kanker Chemotherapie Cijfers over kanker Cognitieve problemen bij kanker Complementaire zorg (aanvullende zorg) bij kanker D Darmkanker (dikkedarmkanker) DNA-onderzoek bij mensen met kanker Doelgerichte therapie Dunnedarmkanker E Eerder in de overgang door kanker Eierstokkanker Endeldarmkanker Erfelijkheid en kanker F Financiën en kanker G Galblaaskanker Galwegkanker Gastro-intestinale stromale tumor Gezond leven met en na kanker H Hart- en vaatziekten door de behandeling van kanker Hartkanker Hersentumoren Hodgkinlymfoom Hoge urinewegkanker Hoofd-halskanker Hormoontherapie (anti-hormonale therapie) Huidkanker Huidlymfoom Hyperbare zuurstoftherapie Hyperthermie I Immunotherapie In gesprek met je arts J Je keuzes en rechten als kankerpatiënt Jong & kanker K Kanker bij kinderen Kanker en andere ziektes hebben Kanker en je gezin Kanker, wat nu? Keelkanker L Leukemie Leverkanker Lipkanker Longkanker Luchtpijpkanker Lymfeklierkanker Lymfoedeem bij kanker M Maagkanker Melanoom Merkelcelcarcinoom Mesothelioom Mondkanker MPN (myeloproliferatieve neoplasmata) Mucosaal melanoom Multipel myeloom (ziekte van Kahler) Myelodysplastisch syndroom N Neuro-endocriene tumoren Neuropathie bij kanker Neuskanker Nierkanker Niet meer beter worden Non-hodgkinlymfoom O Onderzoeken bij kanker Oogkanker Oogmelanoom Oorkanker Opereren zonder snijden (interventieradiologie) P Papil van Vater-kanker Peniskanker Pijn bij kanker Plasbuiskanker Plaveiselcelcarcinoom Primaire tumor onbekend (PTO) Problemen met mond en gebit door kanker Prostaatkanker Protonentherapie Pseudomyxoma peritonei (PMP) S Schaamlipkanker (vulvakanker) Schildklierkanker Seksualiteit bij kanker Slokdarmkanker Speekselklierkanker Stamceltransplantatie Strottenhoofdkanker Studies bij kanker (trials) T Talgkliercarcinoom Thymuskanker Tongkanker Trofoblastziekten U Urachuskanker V Vaginakanker Veranderingen aan je lichaam en uiterlijk door kanker Verder met je leven na kanker Vermoeidheid bij kanker Verzekeringen en kanker Voor naasten Vruchtbaarheid en kanker W Wat is kanker? Wekedelentumoren / wekedelensarcomen Werk en kanker Z Zaadbalkanker (teelbalkanker) Zeldzame kankers Ziekte van Waldenström Zwanger en kanker",https://www.kanker.nl/bibliotheek,Diagnosis,General
kanker.nl,Oncology,Gevolgen van kanker,"C Cognitieve problemen bij kanker Complementaire zorg (aanvullende zorg) bij kanker E Eerder in de overgang door kanker F Financiën en kanker H Hart- en vaatziekten door de behandeling van kanker K Kanker, wat nu? L Lymfoedeem bij kanker N Neuropathie bij kanker Niet meer beter worden P Pijn bij kanker Problemen met mond en gebit door kanker S Seksualiteit bij kanker V Veranderingen aan je lichaam en uiterlijk door kanker Verder met je leven na kanker Vermoeidheid bij kanker Verzekeringen en kanker Vruchtbaarheid en kanker W Werk en kanker",https://www.kanker.nl/gevolgen-van-kanker,General Information,General
thuisarts.nl,General Medical,Deze pagina bestaat niet meer,,https://www.thuisarts.nl/onderwerpen,General Information,General
iknl.nl,Research,Nieuws,,https://iknl.nl/nieuws,General Information,General
iknl.nl,Research,Over IKNL,,https://iknl.nl/over-iknl,General Information,General
nfk.nl,Patient Fed,404,,https://nfk.nl/over-kanker,General Information,General
zorgwijzer.nl,Policy/Insurance,Zorgverzekering2026 vergelijken,,https://www.zorgwijzer.nl/zorgverzekering-2026,General Information,General
zorginstituutnederland.nl,Policy,Wat wij doen,,https://www.zorginstituutnederland.nl/over-ons,General Information,General
